2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Usual Resident Population,IRSD,IRSAD,IER,IEO
31264,Gulngai,0.0,Y,Y,Y,Y
31287,Halliford,4.0,Y,Y,Y,Y
31340,Hinchinbrook (Qld),5.0,Y,Y,Y,Y
31432,Jardine River,0.0,Y,Y,Y,Y
31491,Karron,0.0,Y,Y,Y,Y
31567,Koombooloomba,0.0,Y,Y,Y,Y
31572,Kooroomool,0.0,Y,Y,Y,Y
31585,Kunda Park,22.0,Y,Y,Y,N
31618,Lake Monduran,0.0,Y,Y,Y,Y
31620,Lake Tinaroo,3.0,Y,Y,Y,Y
31627,Lamb Range,7.0,Y,Y,Y,Y
31639,Larapinta (Qld),6.0,Y,Y,Y,Y
31688,Low Isles,8.0,Y,Y,Y,Y
31703,Lumholtz,0.0,Y,Y,Y,Y
31712,Lytton,3.0,Y,Y,Y,Y
31719,Macalister Range,0.0,Y,Y,Y,Y
31744,Mamu,0.0,Y,Y,Y,Y
31804,Mentmore,0.0,Y,Y,Y,Y
31878,Monarch Glen,0.0,Y,Y,Y,Y
31886,Montrose (Southern Downs - Qld),0.0,Y,Y,Y,Y
31916,Moreton Bay,0.0,Y,Y,Y,Y
31951,Mount Coot-tha,0.0,Y,Y,Y,Y
31958,Mount Elliot (Qld),0.0,Y,Y,Y,Y
31989,Mount Mackay,0.0,Y,Y,Y,Y
32018,Mount Rooper,0.0,Y,Y,Y,Y
32056,Muldu,0.0,Y,Y,Y,Y
32084,Murray,1739.0,Y,Y,Y,Y
32128,New Chum,3.0,Y,Y,Y,Y
32140,Ngatjan,0.0,Y,Y,Y,Y
32154,Noah,0.0,Y,Y,Y,Y
32200,Nychum,0.0,Y,Y,Y,Y
32290,Peel Island,0.0,Y,Y,Y,Y
32296,Penwhaupell,0.0,Y,Y,Y,Y
32350,Port Alma,0.0,Y,Y,Y,Y
32353,Port Of Brisbane,0.0,Y,Y,Y,Y
32373,Punsand,19.0,Y,Y,Y,N
32387,Rangemore (Burdekin - Qld),0.0,Y,Y,Y,Y
32398,Ravensworth (Qld),0.0,Y,Y,Y,Y
32402,Red River,0.0,Y,Y,Y,Y
32477,Ross River,0.0,Y,Y,Y,Y
32522,Savannah,0.0,Y,Y,Y,Y
32553,Shelly Beach (Townsville - Qld),0.0,Y,Y,Y,Y
32567,Silverbark Ridge,0.0,Y,Y,Y,Y
32582,Somerset (Qld),0.0,Y,Y,Y,Y
32603,South Trees,0.0,Y,Y,Y,Y
32604,South Wellesley Islands,0.0,Y,Y,Y,Y
32609,Southern Lamington,0.0,Y,Y,Y,Y
32610,Southern Moreton Bay Islands,0.0,Y,Y,Y,Y
32636,Spurgeon,0.0,Y,Y,Y,Y
32648,Staaten,0.0,Y,Y,Y,Y
32684,Sturt (Qld),0.0,Y,Y,Y,Y
32692,Sundown (Southern Downs - Qld),0.0,Y,Y,Y,Y
32707,Swanbank,4.0,Y,Y,Y,Y
32710,Sweers Island,4.0,Y,Y,Y,Y
32711,Syndicate,0.0,Y,Y,Y,Y
32728,Tam O'Shanter,0.0,Y,Y,Y,Y
32737,Tanbar,0.0,Y,Y,Y,Y
32746,Taragoola,0.0,Y,Y,Y,Y
32784,The Bluff (Toowoomba - Qld),0.0,Y,Y,Y,Y
32786,The Common,4.0,Y,Y,Y,Y
32788,The Dimonds,0.0,Y,Y,Y,Y
32798,The Limits,0.0,Y,Y,Y,Y
32800,The Narrows (Qld),0.0,Y,Y,Y,Y
32802,The Percy Group,4.0,Y,Y,Y,Y
32839,Toko,0.0,Y,Y,Y,Y
32847,Toolara Forest,0.0,Y,Y,Y,Y
32851,Toondahra,0.0,Y,Y,Y,Y
32861,Torres Strait,0.0,Y,Y,Y,Y
32865,Town Common,3.0,Y,Y,Y,Y
32951,Wahoon,0.0,Y,Y,Y,Y
32954,Wairuna,0.0,Y,Y,Y,Y
32962,Wallaman,0.0,Y,Y,Y,Y
32966,Walliebum,0.0,Y,Y,Y,Y
32974,Walter Hill,0.0,Y,Y,Y,Y
32984,Wanjuru,0.0,Y,Y,Y,Y
32987,Warburton (Qld),0.0,Y,Y,Y,Y
33003,Wateranga,0.0,Y,Y,Y,Y
33013,Waua Islet,0.0,Y,Y,Y,Y
33020,Weerriba,0.0,Y,Y,Y,Y
33021,Weipa Airport,0.0,Y,Y,Y,Y
33028,Welsby,0.0,Y,Y,Y,Y
33043,West Wellesley Islands,0.0,Y,Y,Y,Y
33047,Western Creek (Qld),0.0,Y,Y,Y,Y
33051,Westvale,0.0,Y,Y,Y,Y
33055,Wharps,0.0,Y,Y,Y,Y
33142,Woolein,0.0,Y,Y,Y,Y
