sal_code,sal_name,irsad_score,irsad_decile,ier_score,population
20212,Benloch,1056.122476,9.0,1111.257317,138.0
20213,Bennison,942.2063493,3.0,1003.997278,42.0
20214,Bentleigh,1102.817245,10.0,1043.166526,17921.0
20215,Bentleigh East,1090.225964,10.0,1056.298352,30159.0
20216,Benwerrin,1063.832274,9.0,1081.473447,9.0
20217,Beremboke,988.6115437,6.0,1054.070583,165.0
20218,Berrimal,975.1877925,5.0,996.0877545,52.0
20219,Berringa,898.0941883,2.0,966.5198331,194.0
20220,Berringama,993.9882555,6.0,1036.85082,35.0
20221,Berriwillock,987.1244231,6.0,996.0226249,180.0
20222,Berrybank,988.8761912,6.0,1008.490195,37.0
20223,Berrys Creek,1044.127899,9.0,1093.545327,174.0
20224,Berwick,1042.841432,9.0,1065.778981,50298.0
20225,Bessiebelle,1005.207303,7.0,1014.66026,113.0
20226,Bet Bet,906.7091672,2.0,982.5343927,135.0
20227,Bete Bolong,1000.552459,6.0,1015.382493,84.0
20228,Bete Bolong North,915.7333538,2.0,919.1871441,13.0
20229,Bethanga,1023.878523,8.0,1074.149824,485.0
20230,Betley,906.7091672,2.0,982.5343927,101.0
20231,Beulah (Vic.),919.802195,2.0,965.0451766,312.0
20232,Beverford,955.3865672,4.0,1028.063763,337.0
20233,Beveridge,1019.553777,7.0,1102.562359,4642.0
20235,Big Hill (Greater Bendigo - Vic.),938.390167,3.0,956.4885609,281.0
20236,Big Hill (Surf Coast - Vic.),1063.832274,9.0,1081.473447,38.0
20237,Big Pats Creek,955.2734203,4.0,1017.639804,60.0
20238,Biggara,1019.63304,7.0,1077.173001,61.0
20240,Bimbourie,1044.778694,9.0,1025.964769,11.0
20241,Bindi,979.3118139,5.0,1001.17816,49.0
20242,Binginwarri,956.7120868,4.0,1014.708944,134.0
20243,Bingo Munjie,945.8598489,3.0,985.2685666,8.0
20244,Birchip,972.1686891,5.0,970.6056505,694.0
20245,Birchip West,1022.670255,8.0,1028.167846,9.0
20246,Birdwoodton,996.383114,6.0,1060.073546,748.0
20247,Birregurra,1027.041987,8.0,1041.83459,942.0
20248,Bittern,991.9665672,6.0,1054.420423,4276.0
20249,Black Hill (Vic.),982.8287584,5.0,947.0178135,2124.0
20250,Black Range (Vic.),987.0805672,6.0,1011.33189,274.0
20251,Black Rock (Vic.),1131.039412,10.0,1086.269253,6389.0
20252,Blackburn,1095.447577,10.0,1038.943245,14478.0
20253,Blackburn North,1071.261587,9.0,1040.58446,7627.0
20254,Blackburn South,1070.929324,9.0,1024.110423,10939.0
20255,Blackwarry,897.4836486,2.0,948.7166657,38.0
20256,Blackwood (Vic.),985.7405194,5.0,1000.340287,387.0
20257,Blairgowrie,1055.847053,9.0,1053.38545,2786.0
20258,Blakeville,1047.693506,9.0,1087.096997,43.0
20259,Blampied,1041.471182,8.0,1063.568393,237.0
20260,Blind Bight,955.2918376,4.0,1052.801387,1290.0
